Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Mr.	Dixon	David		C	NC13	2023	1/31/2024	10056685
	Dixon	Peter		C	CA16	2023	2/4/2024	10056467
	Dixon	Peter		X	CA16	2023	12/27/2023	30019544
	Dobson	Caroleene		C	AL02	2023	2/4/2024	10056477
	Dobson	Caroleene		X	AL02	2023	12/27/2023	30019546
	Dobson	Caroleene		X	AL02	2023	2/7/2024	30019581
Hon.	Doggett	Lloyd		P	TX35	2023	1/5/2023	20022228
Hon.	Doggett	Lloyd		P	TX37	2023	3/6/2023	20022517
Hon.	Doggett	Lloyd		P	TX37	2023	4/10/2023	20022697
Hon.	Doggett	Lloyd		P	TX37	2023	5/4/2023	20022859
Hon.	Doggett	Lloyd		P	TX37	2023	6/7/2023	20023097
Hon.	Doggett	Lloyd		P	TX37	2023	7/10/2023	20023279
Hon.	Doggett	Lloyd		P	TX37	2023	8/7/2023	20023456
Hon.	Doggett	Lloyd		P	TX37	2023	9/8/2023	20023652
Hon.	Doggett	Lloyd		P	TX37	2023	10/5/2023	20023810
Hon.	Doggett	Lloyd		P	TX37	2023	11/6/2023	20023962
Hon.	Doggett	Lloyd		P	TX37	2023	12/18/2023	20024166
Mr.	Dolan	Martin William		C	NY16	2023	1/14/2024	10056092
Mr.	Dolan	Martin William		X	NY16	2023	11/3/2023	30019450
	Dood	Brett R.		C	CA09	2023	5/12/2023	10051082
	Dorris	Clint		C	TX12	2023	12/28/2023	10056493
Dr.	Douglass	Eugene Farley		A	NC02	2023	10/11/2023	10056018
Dr.	Douglass	Eugene Farley		C	NC02	2023	8/6/2023	10055500
	Downing	Troy		C	MT02	2023	2/29/2024	10056201
	Downing	Troy		X	MT02	2023	11/17/2023	30019476
Hon.	Doyle	Michael F.		T	PA18	2023	2/15/2023	10050889
Hon.	Dunn	Neal Patrick MD, Facs		P	FL02	2023	2/17/2023	20022361
Hon.	Dunn	Neal Patrick MD, Facs		P	FL02	2023	5/26/2023	20023022
	Dunwoody	Stephen Andrae'		X	CA30	2023	6/21/2023	30019242
	Easton	Kevin		C	OR05	2023	2/24/2023	8219399
	Easton	Kevin		C	OR05	2023	5/17/2023	8219595
	Eddy	Christopher		C	FL25	2023	8/9/2023	10055514
	Edwards	Amanda		C	TX18	2023	10/5/2023	10055222
	Edwards	Amanda		X	TX18	2023	7/12/2023	30019269
	Edwards	Becky		C	UT02	2023	8/30/2023	10055164
	Edwards	Becky		X	UT02	2023	6/27/2023	30019249
